                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.95463,                0.63725,                 1.0301,                0.63655,                0.59082,                0.62317,                0.36075,                 1.5666,                 1.1999,                 1.3562,              0.0088969,              0.0088969,              0.0088969
                    131,                0.94371,                 0.6289,                 1.0248,                0.65859,                0.58126,                0.62446,                0.36896,                 1.5405,                 1.2137,                 1.3325,              0.0088686,              0.0088686,              0.0088686
                    132,                0.94865,                0.63464,                 1.0292,                0.63336,                0.59178,                0.61537,                 0.3626,                 1.5421,                 1.2241,                 1.3328,              0.0088403,              0.0088403,              0.0088403
                    133,                0.94088,                0.62842,                 1.0302,                0.58256,                 0.6348,                0.61536,                0.36129,                 1.5639,                 1.2436,                  1.328,               0.008812,               0.008812,               0.008812
                    134,                0.95587,                0.63516,                 1.0293,                0.58906,                 0.6109,                 0.6123,                0.36407,                 1.5387,                 1.2356,                 1.3238,              0.0087837,              0.0087837,              0.0087837
                    135,                0.94369,                0.62972,                 1.0264,                0.63087,                0.57457,                0.59741,                0.34765,                 1.5864,                 1.2752,                 1.3635,              0.0087554,              0.0087554,              0.0087554
                    136,                0.93968,                0.62757,                 1.0264,                0.64726,                0.59465,                0.61798,                0.36116,                 1.5653,                 1.2166,                 1.3302,              0.0087271,              0.0087271,              0.0087271
                    137,                0.93509,                0.62312,                  1.024,                0.67195,                0.57768,                0.62185,                0.36912,                  1.535,                 1.2256,                 1.3225,              0.0086989,              0.0086989,              0.0086989
                    138,                0.93449,                0.61985,                 1.0223,                0.68414,                0.57361,                0.62077,                0.36598,                 1.5563,                 1.2228,                  1.323,              0.0086706,              0.0086706,              0.0086706
                    139,                0.93516,                0.61988,                 1.0229,                0.61433,                0.61185,                0.61709,                0.36156,                 1.5864,                 1.2313,                 1.3496,              0.0086423,              0.0086423,              0.0086423
                    140,                0.93446,                0.61871,                 1.0239,                0.63665,                 0.6109,                0.61647,                0.36166,                 1.5675,                  1.221,                 1.3435,               0.008614,               0.008614,               0.008614
